County Name,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chowan,"13,722",89,0.10%,89,-6.20%,79,-909,71,43.18,45,43.32,45,20.00%,51,20.10%,49,25.20%,21,25.30%,20,7.40%,28,7.60%,28,32.60%,67,30.10%,69,10.90%,5,11.80%,8,14.10%,75,14.70%,63,430,70,55,92,28.7,23,4,11,105.90%,9,105.90%,10,12.30%,29,37.40%,69,53.60%,57,69.60%,84,71.60%,74,62.60%,78,39.70%,64,28.50%,78,28.90%,80,"50,460",33,"46,206",32,60.40%,60,56.80%,67,85.90%,94,84.80%,85,3.70%,64,3.90%,66,879,42,811,52,0.665,54,0.665,52,927.5,25,851.7,32,"139,475",34,"112,812",48,6.75%
Clay,"11,573",92,0.10%,92,8.20%,28,877,49,51.52,3,51.45,3,16.00%,91,16.00%,93,32.50%,2,32.30%,2,7.50%,25,7.80%,26,28.30%,44,26.40%,46,16.00%,86,17.20%,87,14.30%,79,15.80%,78, Data is unavailable. ,, Data unavailable ,,71.2,94,8,25,94.90%,18,100.00%,14,7.00%,8,56.20%,15,49.70%,75,74.60%,63,70.80%,77,59.20%,81,34.90%,45,25.20%,62,24.10%,68,"43,300",85,"40,229",79,54.00%,71,60.30%,60,72.80%,6,75.40%,5,3.60%,62,4.00%,67,819,81,753,88,0.43,11,0.43,8,794.3,47,790,39,"184,720",13,"183,720",11,7.00%
Cleveland,"102,680",28,1.00%,28,6.00%,38,"5,853",31,41.69,62,41.72,62,20.80%,36,20.90%,36,19.90%,59,19.60%,60,5.60%,74,5.80%,74,36.90%,81,34.70%,82,13.50%,52,13.60%,40,13.90%,72,15.70%,77,572,50,560,32,23.5,19,23,48,74.30%,38,74.30%,39,15.10%,59,38.70%,63,51.90%,66,71.90%,76,72.20%,67,86.70%,38,42.40%,78,26.80%,70,21.70%,54,"45,544",70,"41,569",70,66.60%,44,65.30%,44,83.50%,77,83.80%,69,3.50%,50,3.80%,57,937,30,869,33,0.6875,60,0.6875,57,737.3,61,716.3,61,"107,245",56,"104,195",54,6.75%
Columbus,"49,851",51,0.50%,51,-11.10%,90,"-6,233",97,42.19,57,42.22,56,20.80%,35,20.90%,37,20.90%,52,20.60%,52,6.80%,37,6.90%,34,43.40%,94,40.00%,93,15.90%,85,16.60%,82,14.50%,83,16.60%,88,"1,038",6,576,30,66.7,89,37,70,83.70%,32,83.70%,29,22.00%,94,30.80%,94,39.80%,95,65.30%,96,65.20%,94,89.00%,35,47.00%,89,33.90%,92,26.60%,74,"44,729",77,"40,202",80,62.60%,51,60.50%,59,86.30%,97,86.00%,92,3.60%,58,4.10%,75,788,93,772,78,0.805,83,0.805,81,691,69,686,69,"85,841",88,"85,222",83,6.75%
Craven,"102,142",29,0.90%,29,-1.40%,62,"-1,431",78,37.38,92,37.4,91,25.00%,6,25.10%,6,19.00%,73,18.70%,71,12.00%,3,12.30%,3,26.80%,35,24.20%,32,13.00%,39,12.90%,23,12.00%,31,13.50%,31,712,27,727,22,62.7,86,64,81,43.10%,81,43.10%,81,11.90%,26,45.10%,40,57.80%,42,80.60%,32,80.60%,29,81.70%,54,33.60%,35,18.00%,26,19.00%,34,"54,135",22,"50,408",21,80.40%,12,80.90%,12,79.20%,30,79.40%,18,3.50%,56,3.60%,44,982,17,945,15,0.4448,15,0.56,21,572.5,93,562.8,90,"102,240",63,"100,494",60,6.75%
Cumberland,"345,250",5,3.20%,5,3.80%,42,"12,488",22,33.14,96,33.1,97,26.40%,3,26.40%,4,14.50%,93,14.10%,94,14.10%,1,14.50%,1,36.50%,79,33.20%,78,11.90%,14,12.50%,16,14.10%,75,16.20%,81,515,56,"1,727",6,63.8,87,214,97,48.30%,73,49.50%,71,13.10%,42,45.70%,37,59.00%,36,81.60%,27,81.30%,27,97.50%,12,39.80%,66,21.70%,47,25.30%,70,"46,992",54,"43,028",55,87.90%,6,88.70%,5,78.70%,25,78.60%,15,4.80%,91,4.80%,91,976,20,935,18,0.799,82,0.799,80,576.7,92,568.5,88,"72,183",97,"71,154",96,7.00%
Currituck,"32,208",70,0.30%,70,33.20%,3,"8,031",28,43.8,40,43.7,40,19.20%,62,19.40%,61,17.70%,80,17.40%,80,8.80%,15,9.20%,12,15.80%,3,14.50%,4,12.00%,16,12.70%,19,8.90%,3,10.30%,5,371,81,103,80,32.4,31,9,27,45.90%,78,45.90%,78,12.40%,30,48.60%,24,64.30%,23,89.10%,5,86.50%,11,88.20%,36,20.20%,1,12.80%,7,14.80%,15,"57,320",15,"53,380",15,33.30%,93,31.70%,93,82.00%,54,83.10%,62,3.00%,13,3.30%,19,807,87,762,83,0.56,28,0.46,10,1250.5,6,1259.5,5,"271,854",5,"273,810",2,6.75%
Dare,"38,392",64,0.40%,64,10.30%,24,"3,584",36,46.58,17,46.53,18,17.00%,84,17.30%,82,24.50%,25,24.00%,25,8.50%,18,8.80%,18,18.70%,7,17.40%,8,13.60%,53,13.60%,41,10.00%,10,12.30%,16,549,52,203,65,45.9,65,17,35,80.70%,33,80.70%,31,13.00%,40,57.00%,14,57.20%,45,90.40%,3,90.30%,3,99.30%,4,22.60%,4,14.00%,12,13.20%,9,"68,887",5,"65,191",5,89.50%,3,89.70%,3,78.10%,18,77.30%,9,3.40%,49,3.60%,43,832,74,783,69,0.4005,10,0.4005,7,1819.4,2,1821.2,1,"454,294",1,"454,732",1,6.75%
Davidson,"173,876",16,1.60%,16,6.60%,37,"10,810",25,42.24,56,42.28,53,20.10%,47,20.30%,46,19.40%,68,19.10%,67,5.00%,88,5.20%,88,27.80%,39,25.60%,39,14.50%,67,14.60%,59,12.70%,44,14.10%,48,615,43,"1,030",12,71,93,119,93,34.30%,92,34.90%,91,15.50%,63,40.80%,54,57.60%,44,80.40%,34,79.80%,33,97.70%,11,37.10%,51,19.60%,36,17.50%,29,"48,086",49,"44,191",47,48.60%,77,47.20%,80,81.70%,49,82.10%,47,3.20%,32,3.40%,32,964,25,907,24,0.54,25,0.54,19,566.3,94,554.4,93,"104,865",60,"102,665",58,7.00%
Davie,"44,223",58,0.40%,58,7.50%,34,"3,069",37,45.04,28,44.96,27,18.30%,70,18.50%,70,22.70%,34,22.20%,36,6.60%,43,6.70%,44,22.60%,18,20.50%,12,13.40%,47,13.00%,27,11.90%,29,13.00%,25,465,65,199,66,46.7,67,20,39,94.00%,19,94.00%,21,15.00%,58,44.40%,42,52.00%,65,86.80%,14,84.60%,16,86.50%,39,28.00%,14,14.40%,14,13.00%,8,"57,591",14,"53,558",14,45.80%,84,46.30%,81,81.20%,40,82.80%,58,3.10%,21,3.40%,27,926,33,874,31,0.773,77,0.773,74,924.7,26,901.3,24,"126,149",46,"122,959",44,6.75%
